Product_Name,Category,Total_Quantity,Total_Loss_GBP
REGENCY CAKESTAND 3 TIER,Kitchen & Dining,-693,-7867.35
FAIRY CAKE FLANNEL ASSORTED COLOUR,Kitchen & Dining,-3150,-6591.42
WHITE HANGING HEART T-LIGHT HOLDER,Home Decor,-2551,-6544.65
PANTRY CHOPPING BOARD,Kitchen & Dining,-946,-4803.06
DOORMAT FAIRY CAKE,Kitchen & Dining,-672,-4538.4
GIN + TONIC DIET METAL SIGN,Home Decor,-2029,-3772.78
TEA TIME PARTY BUNTING,Kitchen & Dining,-1424,-3692.95
FELTCRAFT DOLL MOLLY,Arts & Crafts,-1446,-3509.7
COLOUR GLASS. STAR T-LIGHT HOLDER,Home Decor,-1171,-3235.01
PINK BLUE FELT CRAFT TRINKET BOX,Arts & Crafts,-2616,-2777.52
IVORY DINER WALL CLOCK,Kitchen & Dining,-344,-2653.7
RED RETROSPOT CAKE STAND,Kitchen & Dining,-289,-2119.15
JUMBO BAG RED RETROSPOT,Bags & Storage,-1101,-1954.9
VINTAGE RED KITCHEN CABINET,Kitchen & Dining,-10,-1730.5
HOT WATER BOTTLE I AM SO POORLY,Textiles & Soft Goods,-394,-1679.7
DOORMAT KEEP CALM AND COME IN,Home Decor,-225,-1601.25
FLOWERS CHANDELIER T-LIGHT HOLDER,Home Decor,-531,-1600.35
SET/4 WHITE RETRO STORAGE CUBES ,Storage & Organization,-35,-1248.25
REVOLVER WOODEN RULER ,Stationery & Gifts,-716,-1193.4
GIRAFFE WOODEN RULER,Stationery & Gifts,-714,-1185.9
FELTCRAFT 6 FLOWER FRIENDS,Arts & Crafts,-623,-1158.3
PARTY BUNTING,Kitchen & Dining,-268,-1156.8
HOME SWEET HOME MUG,Kitchen & Dining,-1051,-1133.07
FELTCRAFT BUTTERFLY HEARTS,Arts & Crafts,-876,-1102.2
JUMBO BAG APPLES,Bags & Storage,-609,-1101.13
JUMBO BAG ALPHABET,Bags & Storage,-593,-1073.94
WOOD 2 DRAWER CABINET WHITE FINISH,Furniture,-174,-1050.3
JUMBO BAG VINTAGE DOILY ,Bags & Storage,-568,-1030.64
FELTCRAFT CUSHION OWL,Arts & Crafts,-301,-1025.07
CINDERELLA CHANDELIER ,Home Decor,-59,-996.65
RED FLORAL FELTCRAFT SHOULDER BAG,Bags & Storage,-289,-980.07
REGENCY TEA PLATE ROSES ,Kitchen & Dining,-669,-975.05
SET 7 BABUSHKA NESTING BOXES,Kitchen & Dining,-121,-926.5
PICNIC BASKET WICKER LARGE,Storage & Organization,-100,-873.2
PAPER CHAIN KIT 50'S CHRISTMAS ,Party & Seasonal,-333,-854.35
HERB MARKER BASIL,Other,-1527,-841.05
FELTCRAFT CUSHION RABBIT,Arts & Crafts,-245,-832.35
3 HOOK PHOTO SHELF ANTIQUE WHITE,Home Decor,-106,-825.35
JUMBO BAG PINK POLKADOT,Bags & Storage,-456,-816.58
VINTAGE BLUE KITCHEN CABINET,Kitchen & Dining,-6,-800
JAM MAKING SET WITH JARS,Kitchen & Dining,-190,-777.54
VINTAGE BILLBOARD TEA MUG,Kitchen & Dining,-701,-743.06
CHILDS BREAKFAST SET DOLLY GIRL ,Arts & Crafts,-84,-727.05
WOODEN FRAME ANTIQUE WHITE ,Home Decor,-279,-721.45
SAVE THE PLANET MUG,Kitchen & Dining,-673,-721.14
LUNCH BAG RED RETROSPOT,Bags & Storage,-454,-676.9
VICTORIAN SEWING BOX LARGE,Storage & Organization,-60,-668.8
FELTCRAFT CUSHION BUTTERFLY,Arts & Crafts,-194,-658.38
ROSES REGENCY TEACUP AND SAUCER ,Kitchen & Dining,-246,-654.1
LUNCH BAG ALPHABET DESIGN,Bags & Storage,-437,-641.45
VICTORIAN GLASS HANGING T-LIGHT,Home Decor,-450,-638.4
OFFICE MUG WARMER PINK,Kitchen & Dining,-250,-637.5
WHITE SKULL HOT WATER BOTTLE ,Textiles & Soft Goods,-185,-635.93
SET OF 3 CAKE TINS PANTRY DESIGN ,Kitchen & Dining,-134,-631.1
EDWARDIAN PARASOL BLACK,Other,-124,-616.8
SWEETHEART CAKESTAND 3 TIER,Kitchen & Dining,-66,-613.2
JUMBO STORAGE BAG SUKI,Bags & Storage,-334,-602.33
JUMBO SHOPPER VINTAGE RED PAISLEY,Bags & Storage,-342,-599.07
BREAD BIN DINER STYLE IVORY,Kitchen & Dining,-36,-582.2
WHITE TALL PORCELAIN T-LIGHT HOLDER,Home Decor,-292,-571.8
SET/2 RED RETROSPOT TEA TOWELS ,Kitchen & Dining,-200,-550
SCOTTIE DOG HOT WATER BOTTLE,Textiles & Soft Goods,-129,-544.45
LUNCH BOX I LOVE LONDON,Kitchen & Dining,-315,-532.35
JUMBO  BAG BAROQUE BLACK WHITE,Bags & Storage,-280,-508.8
SET 2 TEA TOWELS I LOVE LONDON ,Kitchen & Dining,-202,-507.7
ASSORTED COLOURS SILK FAN,Other,-744,-505.68
JUMBO BAG VINTAGE CHRISTMAS ,Bags & Storage,-271,-505.68
CHRISTMAS LIGHTS 10 SANTAS ,Party & Seasonal,-64,-502.35
SET/3 VANILLA SCENTED CANDLE IN BOX,Home Decor,-130,-499.7
RED RETROSPOT PEG BAG,Bags & Storage,-224,-480.75
JUMBO BAG SCANDINAVIAN BLUE PAISLEY,Bags & Storage,-265,-479.58
LOVE SEAT ANTIQUE WHITE METAL,Other,-3,-475
SPOTTY BUNTING,Kitchen & Dining,-108,-473.71
SET OF TEA COFFEE SUGAR TINS PANTRY,Kitchen & Dining,-102,-471.3
JUMBO BAG 50'S CHRISTMAS ,Bags & Storage,-252,-466.16
ALPHABET STENCIL CRAFT,Arts & Crafts,-437,-464.17
CHOCOLATE HOT WATER BOTTLE,Textiles & Soft Goods,-104,-451.92
JUMBO BAG STRAWBERRY,Bags & Storage,-250,-448.49
BLUE CHARLIE+LOLA PERSONAL DOORSIGN,Home Decor,-152,-448.4
3 TIER CAKE TIN RED AND CREAM,Kitchen & Dining,-32,-447.6
JUMBO BAG VINTAGE LEAF,Bags & Storage,-242,-442.46
BEADED CHANDELIER T-LIGHT HOLDER,Home Decor,-385,-436.95
CREAM SWEETHEART MINI CHEST,Furniture,-40,-435.3
BASKET OF TOADSTOOLS,Storage & Organization,-408,-432.48
IVORY CHANDELIER T-LIGHT HOLDER,Home Decor,-384,-432
JUMBO BAG OWLS,Bags & Storage,-243,-431.43
PAPER CHAIN KIT VINTAGE CHRISTMAS,Party & Seasonal,-151,-421.45
CERAMIC CAKE STAND + HANGING CAKES,Kitchen & Dining,-47,-416.85
JUMBO BAG WOODLAND ANIMALS,Bags & Storage,-235,-416.32
RUSTIC  SEVENTEEN DRAWER SIDEBOARD,Kitchen & Dining,-3,-415
JAM MAKING SET PRINTED,Kitchen & Dining,-322,-412.7
HOT WATER BOTTLE KEEP CALM,Textiles & Soft Goods,-95,-412.65
SILVER HANGING T-LIGHT HOLDER,Home Decor,-263,-412.35
CARD HOLDER GINGHAM HEART,Home Decor,-195,-411.87
PINK HANGING HEART T-LIGHT HOLDER,Home Decor,-161,-410.95
WOODEN SCHOOL COLOURING SET,Arts & Crafts,-276,-405
PAINT YOUR OWN CANVAS SET,Arts & Crafts,-273,-396.45
WOODEN PICTURE FRAME WHITE FINISH,Home Decor,-160,-395
PHOTO FRAME 3 CLASSIC HANGING,Home Decor,-42,-394.7
DOORMAT RED RETROSPOT,Home Decor,-55,-383.67
